,year,state,month,number
1597,2000,Distrito Federal,Setembro,3
1598,2001,Distrito Federal,Setembro,12
1599,2002,Distrito Federal,Setembro,33
1600,2003,Distrito Federal,Setembro,17
1601,2004,Distrito Federal,Setembro,100
1602,2005,Distrito Federal,Setembro,23
1603,2006,Distrito Federal,Setembro,20
1604,2007,Distrito Federal,Setembro,73
1605,2008,Distrito Federal,Setembro,54
1606,2009,Distrito Federal,Setembro,5
1607,2010,Distrito Federal,Setembro,196
1608,2011,Distrito Federal,Setembro,133
1609,2012,Distrito Federal,Setembro,64
1610,2013,Distrito Federal,Setembro,31
1611,2014,Distrito Federal,Setembro,72
1612,2015,Distrito Federal,Setembro,76
1613,2016,Distrito Federal,Setembro,58
1614,2017,Distrito Federal,Setembro,122
1615,1998,Distrito Federal,Outubro,3
1616,1999,Distrito Federal,Outubro,8
1617,2000,Distrito Federal,Outubro,18
1618,2001,Distrito Federal,Outubro,0
1619,2002,Distrito Federal,Outubro,19
1620,2003,Distrito Federal,Outubro,12
1621,2004,Distrito Federal,Outubro,18
1622,2005,Distrito Federal,Outubro,18
1623,2006,Distrito Federal,Outubro,1
1624,2007,Distrito Federal,Outubro,13
1625,2008,Distrito Federal,Outubro,6
1626,2009,Distrito Federal,Outubro,3
1627,2010,Distrito Federal,Outubro,6
1628,2011,Distrito Federal,Outubro,0
1629,2012,Distrito Federal,Outubro,15
1630,2013,Distrito Federal,Outubro,3
1631,2014,Distrito Federal,Outubro,34
1632,2015,Distrito Federal,Outubro,21
1633,2016,Distrito Federal,Outubro,9
1634,2017,Distrito Federal,Outubro,66
1635,1998,Distrito Federal,Novembro,0
1636,1999,Distrito Federal,Novembro,1
1637,2000,Distrito Federal,Novembro,0
1638,2001,Distrito Federal,Novembro,0
1639,2002,Distrito Federal,Novembro,1
1640,2003,Distrito Federal,Novembro,0
1641,2004,Distrito Federal,Novembro,0
1642,2005,Distrito Federal,Novembro,2
1643,2006,Distrito Federal,Novembro,0
1644,2007,Distrito Federal,Novembro,0
1645,2008,Distrito Federal,Novembro,4
1646,2009,Distrito Federal,Novembro,0
1647,2010,Distrito Federal,Novembro,0
1648,2011,Distrito Federal,Novembro,1
1649,2012,Distrito Federal,Novembro,0
1650,2013,Distrito Federal,Novembro,0
1651,2014,Distrito Federal,Novembro,0
1652,2015,Distrito Federal,Novembro,3
1653,2016,Distrito Federal,Novembro,1
1654,2017,Distrito Federal,Novembro,0
1655,1998,Distrito Federal,Dezembro,0
1656,1999,Distrito Federal,Dezembro,0
1657,2000,Distrito Federal,Dezembro,0
1658,2001,Distrito Federal,Dezembro,1
1659,2002,Distrito Federal,Dezembro,1
1660,2003,Distrito Federal,Dezembro,0
1661,2004,Distrito Federal,Dezembro,0
1662,2005,Distrito Federal,Dezembro,0
1663,2006,Distrito Federal,Dezembro,0
1664,2007,Distrito Federal,Dezembro,0
1665,2008,Distrito Federal,Dezembro,0
1666,2009,Distrito Federal,Dezembro,0
1667,2010,Distrito Federal,Dezembro,1
1668,2011,Distrito Federal,Dezembro,0
1669,2012,Distrito Federal,Dezembro,0
1670,2013,Distrito Federal,Dezembro,2
1671,2014,Distrito Federal,Dezembro,0
1672,2015,Distrito Federal,Dezembro,0
1673,2016,Distrito Federal,Dezembro,0
1674,1998,Espírito Santo,Janeiro,0
1675,1999,Espírito Santo,Janeiro,33
1676,2000,Espírito Santo,Janeiro,5
1677,2001,Espírito Santo,Janeiro,1
1678,2002,Espírito Santo,Janeiro,2
1679,2003,Espírito Santo,Janeiro,4
1680,2004,Espírito Santo,Janeiro,1
1681,2005,Espírito Santo,Janeiro,4
1682,2006,Espírito Santo,Janeiro,13
1683,2007,Espírito Santo,Janeiro,0
1684,2008,Espírito Santo,Janeiro,12
1685,2009,Espírito Santo,Janeiro,4
1686,2010,Espírito Santo,Janeiro,52
1687,2011,Espírito Santo,Janeiro,3
1688,2012,Espírito Santo,Janeiro,1
1689,2013,Espírito Santo,Janeiro,10
1690,2014,Espírito Santo,Janeiro,11
1691,2015,Espírito Santo,Janeiro,76
1692,2016,Espírito Santo,Janeiro,43
1693,2017,Espírito Santo,Janeiro,13
1694,1998,Espírito Santo,Fevereiro,0
1695,1999,Espírito Santo,Fevereiro,10
1696,2000,Espírito Santo,Fevereiro,5
1697,2001,Espírito Santo,Fevereiro,5
1698,2002,Espírito Santo,Fevereiro,4
1699,2003,Espírito Santo,Fevereiro,11
1700,2004,Espírito Santo,Fevereiro,5
1701,2005,Espírito Santo,Fevereiro,1
1702,2006,Espírito Santo,Fevereiro,45
1703,2007,Espírito Santo,Fevereiro,3
1704,2008,Espírito Santo,Fevereiro,20
1705,2009,Espírito Santo,Fevereiro,12
1706,2010,Espírito Santo,Fevereiro,15
1707,2011,Espírito Santo,Fevereiro,42
1708,2012,Espírito Santo,Fevereiro,25
1709,2013,Espírito Santo,Fevereiro,15
1710,2014,Espírito Santo,Fevereiro,17
1711,2015,Espírito Santo,Fevereiro,60
1712,2016,Espírito Santo,Fevereiro,24
1713,2017,Espírito Santo,Fevereiro,8
1714,1998,Espírito Santo,Março,0
1715,1999,Espírito Santo,Março,8
1716,2000,Espírito Santo,Março,1
1717,2001,Espírito Santo,Março,2
1718,2002,Espírito Santo,Março,4
1719,2003,Espírito Santo,Março,28
1720,2004,Espírito Santo,Março,3
1721,2005,Espírito Santo,Março,3
1722,2006,Espírito Santo,Março,14
1723,2007,Espírito Santo,Março,9
1724,2008,Espírito Santo,Março,5
1725,2009,Espírito Santo,Março,11
1726,2010,Espírito Santo,Março,3
1727,2011,Espírito Santo,Março,5
1728,2012,Espírito Santo,Março,35
1729,2013,Espírito Santo,Março,13
1730,2014,Espírito Santo,Março,15
1731,2015,Espírito Santo,Março,25
1732,2016,Espírito Santo,Março,107
1733,2017,Espírito Santo,Março,9
1734,1998,Espírito Santo,Abril,0
1735,1999,Espírito Santo,Abril,2
1736,2000,Espírito Santo,Abril,3
1737,2001,Espírito Santo,Abril,2
1738,2002,Espírito Santo,Abril,2
1739,2003,Espírito Santo,Abril,22
1740,2004,Espírito Santo,Abril,0
1741,2005,Espírito Santo,Abril,4
1742,2006,Espírito Santo,Abril,1
1743,2007,Espírito Santo,Abril,2
1744,2008,Espírito Santo,Abril,8
1745,2009,Espírito Santo,Abril,8
1746,2010,Espírito Santo,Abril,7
1747,2011,Espírito Santo,Abril,3
1748,2012,Espírito Santo,Abril,74
1749,2013,Espírito Santo,Abril,16
1750,2014,Espírito Santo,Abril,15
1751,2015,Espírito Santo,Abril,33
1752,2016,Espírito Santo,Abril,57
1753,2017,Espírito Santo,Abril,7
1754,1998,Espírito Santo,Maio,0
1755,1999,Espírito Santo,Maio,16
1756,2000,Espírito Santo,Maio,2
1757,2001,Espírito Santo,Maio,8
1758,2002,Espírito Santo,Maio,5
1759,2003,Espírito Santo,Maio,1
1760,2004,Espírito Santo,Maio,0
1761,2005,Espírito Santo,Maio,5
1762,2006,Espírito Santo,Maio,0
1763,2007,Espírito Santo,Maio,1
1764,2008,Espírito Santo,Maio,2
1765,2009,Espírito Santo,Maio,7
1766,2010,Espírito Santo,Maio,3
1767,2011,Espírito Santo,Maio,2
1768,2012,Espírito Santo,Maio,20
1769,2013,Espírito Santo,Maio,14
1770,2014,Espírito Santo,Maio,18
1771,2015,Espírito Santo,Maio,17
1772,2016,Espírito Santo,Maio,48
1773,2017,Espírito Santo,Maio,10
1774,1998,Espírito Santo,Junho,6
1775,1999,Espírito Santo,Junho,6
1776,2000,Espírito Santo,Junho,9
1777,2001,Espírito Santo,Junho,9
1778,2002,Espírito Santo,Junho,18
1779,2003,Espírito Santo,Junho,19
1780,2004,Espírito Santo,Junho,3
1781,2005,Espírito Santo,Junho,8
1782,2006,Espírito Santo,Junho,5
1783,2007,Espírito Santo,Junho,4
1784,2008,Espírito Santo,Junho,4
1785,2009,Espírito Santo,Junho,12
1786,2010,Espírito Santo,Junho,3
1787,2011,Espírito Santo,Junho,7
1788,2012,Espírito Santo,Junho,15
1789,2013,Espírito Santo,Junho,22
1790,2014,Espírito Santo,Junho,9
1791,2015,Espírito Santo,Junho,18
1792,2016,Espírito Santo,Junho,49
1793,2017,Espírito Santo,Junho,37
1794,1998,Espírito Santo,Julho,37
1795,1999,Espírito Santo,Julho,9
1796,2000,Espírito Santo,Julho,16
1797,2001,Espírito Santo,Julho,12
1798,2002,Espírito Santo,Julho,9
1799,2003,Espírito Santo,Julho,27
1800,2004,Espírito Santo,Julho,4
1801,2005,Espírito Santo,Julho,9
1802,2006,Espírito Santo,Julho,11
1803,2007,Espírito Santo,Julho,13
1804,2008,Espírito Santo,Julho,5
1805,2009,Espírito Santo,Julho,25
1806,2010,Espírito Santo,Julho,5
1807,2011,Espírito Santo,Julho,18
1808,2012,Espírito Santo,Julho,35
1809,2013,Espírito Santo,Julho,20
1810,2014,Espírito Santo,Julho,17
1811,2015,Espírito Santo,Julho,30
1812,2016,Espírito Santo,Julho,42
1813,2017,Espírito Santo,Julho,3
1814,1998,Espírito Santo,Agosto,38
1815,1999,Espírito Santo,Agosto,60
1816,2000,Espírito Santo,Agosto,26
1817,2001,Espírito Santo,Agosto,30
1818,2002,Espírito Santo,Agosto,60
1819,2003,Espírito Santo,Agosto,118
1820,2004,Espírito Santo,Agosto,12
1821,2005,Espírito Santo,Agosto,12
1822,2006,Espírito Santo,Agosto,29
1823,2007,Espírito Santo,Agosto,82
1824,2008,Espírito Santo,Agosto,13
1825,2009,Espírito Santo,Agosto,17
1826,2010,Espírito Santo,Agosto,39
1827,2011,Espírito Santo,Agosto,93
1828,2012,Espírito Santo,Agosto,12
1829,2013,Espírito Santo,Agosto,53
1830,2014,Espírito Santo,Agosto,47
1831,2015,Espírito Santo,Agosto,35
1832,2016,Espírito Santo,Agosto,78
1833,2017,Espírito Santo,Agosto,30
1834,1998,Espírito Santo,Setembro,108
1835,1999,Espírito Santo,Setembro,64
1836,2000,Espírito Santo,Setembro,14
1837,2001,Espírito Santo,Setembro,38
1838,2002,Espírito Santo,Setembro,46
1839,2003,Espírito Santo,Setembro,252
1840,2004,Espírito Santo,Setembro,47
1841,2005,Espírito Santo,Setembro,8
1842,2006,Espírito Santo,Setembro,87
1843,2007,Espírito Santo,Setembro,63
1844,2008,Espírito Santo,Setembro,78
1845,2009,Espírito Santo,Setembro,57
1846,2010,Espírito Santo,Setembro,53
1847,2011,Espírito Santo,Setembro,108
1848,2012,Espírito Santo,Setembro,48
1849,2013,Espírito Santo,Setembro,30
1850,2014,Espírito Santo,Setembro,61
1851,2015,Espírito Santo,Setembro,228
1852,2016,Espírito Santo,Setembro,128
1853,2017,Espírito Santo,Setembro,58
1854,1998,Espírito Santo,Outubro,20
1855,1999,Espírito Santo,Outubro,23
1856,2000,Espírito Santo,Outubro,88
1857,2001,Espírito Santo,Outubro,19
1858,2002,Espírito Santo,Outubro,113
1859,2003,Espírito Santo,Outubro,159
1860,2004,Espírito Santo,Outubro,48
1861,2005,Espírito Santo,Outubro,62
1862,2006,Espírito Santo,Outubro,10
1863,2007,Espírito Santo,Outubro,79
1864,2008,Espírito Santo,Outubro,100
1865,2009,Espírito Santo,Outubro,13
1866,2010,Espírito Santo,Outubro,32
1867,2011,Espírito Santo,Outubro,38
1868,2012,Espírito Santo,Outubro,62
1869,2013,Espírito Santo,Outubro,37
1870,2014,Espírito Santo,Outubro,89
1871,2015,Espírito Santo,Outubro,307
1872,2016,Espírito Santo,Outubro,58
1873,2017,Espírito Santo,Outubro,56
1874,1998,Espírito Santo,Novembro,4
1875,1999,Espírito Santo,Novembro,9
1876,2000,Espírito Santo,Novembro,3
1877,2001,Espírito Santo,Novembro,3
1878,2002,Espírito Santo,Novembro,22
1879,2003,Espírito Santo,Novembro,49
1880,2004,Espírito Santo,Novembro,42
1881,2005,Espírito Santo,Novembro,0
1882,2006,Espírito Santo,Novembro,0
1883,2007,Espírito Santo,Novembro,112
1884,2008,Espírito Santo,Novembro,3
1885,2009,Espírito Santo,Novembro,18
1886,2010,Espírito Santo,Novembro,3
1887,2011,Espírito Santo,Novembro,6
1888,2012,Espírito Santo,Novembro,7
1889,2013,Espírito Santo,Novembro,11
1890,2014,Espírito Santo,Novembro,20
1891,2015,Espírito Santo,Novembro,141
1892,2016,Espírito Santo,Novembro,8
1893,2017,Espírito Santo,Novembro,3
1894,1998,Espírito Santo,Dezembro,5
1895,1999,Espírito Santo,Dezembro,0
1896,2000,Espírito Santo,Dezembro,3
1897,2001,Espírito Santo,Dezembro,1
1898,2002,Espírito Santo,Dezembro,12
1899,2003,Espírito Santo,Dezembro,18
1900,2004,Espírito Santo,Dezembro,9
1901,2005,Espírito Santo,Dezembro,5
1902,2006,Espírito Santo,Dezembro,0
1903,2007,Espírito Santo,Dezembro,14
1904,2008,Espírito Santo,Dezembro,1
1905,2009,Espírito Santo,Dezembro,32
1906,2010,Espírito Santo,Dezembro,10
1907,2011,Espírito Santo,Dezembro,1
1908,2012,Espírito Santo,Dezembro,18
1909,2013,Espírito Santo,Dezembro,9
1910,2014,Espírito Santo,Dezembro,28
1911,2015,Espírito Santo,Dezembro,61
1912,2016,Espírito Santo,Dezembro,12
1913,1998,Goiás,Janeiro,0
1914,1999,Goiás,Janeiro,14
1915,2000,Goiás,Janeiro,10
1916,2001,Goiás,Janeiro,29
1917,2002,Goiás,Janeiro,12
1918,2003,Goiás,Janeiro,14
1919,2004,Goiás,Janeiro,10
1920,2005,Goiás,Janeiro,27
1921,2006,Goiás,Janeiro,85
1922,2007,Goiás,Janeiro,28
1923,2008,Goiás,Janeiro,23
1924,2009,Goiás,Janeiro,30
1925,2010,Goiás,Janeiro,59
1926,2011,Goiás,Janeiro,39
1927,2012,Goiás,Janeiro,21
1928,2013,Goiás,Janeiro,33
1929,2014,Goiás,Janeiro,80
1930,2015,Goiás,Janeiro,118
1931,2016,Goiás,Janeiro,52
1932,2017,Goiás,Janeiro,53
1933,1998,Goiás,Fevereiro,0
1934,1999,Goiás,Fevereiro,334
1935,2000,Goiás,Fevereiro,11
1936,2001,Goiás,Fevereiro,9
1937,2002,Goiás,Fevereiro,9
1938,2003,Goiás,Fevereiro,47
1939,2004,Goiás,Fevereiro,11
1940,2005,Goiás,Fevereiro,84
1941,2006,Goiás,Fevereiro,21
1942,2007,Goiás,Fevereiro,13
1943,2008,Goiás,Fevereiro,25
1944,2009,Goiás,Fevereiro,29
1945,2010,Goiás,Fevereiro,86
1946,2011,Goiás,Fevereiro,45
1947,2012,Goiás,Fevereiro,37
1948,2013,Goiás,Fevereiro,86
1949,2014,Goiás,Fevereiro,44
1950,2015,Goiás,Fevereiro,53
1951,2016,Goiás,Fevereiro,117
1952,2017,Goiás,Fevereiro,75
1953,1998,Goiás,Março,0
1954,1999,Goiás,Março,1
1955,2000,Goiás,Março,4
1956,2001,Goiás,Março,10
1957,2002,Goiás,Março,48
1958,2003,Goiás,Março,29
1959,2004,Goiás,Março,36
1960,2005,Goiás,Março,36
1961,2006,Goiás,Março,29
1962,2007,Goiás,Março,49
1963,2008,Goiás,Março,20
1964,2009,Goiás,Março,32
1965,2010,Goiás,Março,65
1966,2011,Goiás,Março,19
1967,2012,Goiás,Março,57
1968,2013,Goiás,Março,79
1969,2014,Goiás,Março,80
1970,2015,Goiás,Março,76
1971,2016,Goiás,Março,136
1972,2017,Goiás,Março,115
1973,1998,Goiás,Abril,0
1974,1999,Goiás,Abril,25
1975,2000,Goiás,Abril,16
1976,2001,Goiás,Abril,49
1977,2002,Goiás,Abril,78
1978,2003,Goiás,Abril,87
1979,2004,Goiás,Abril,32
1980,2005,Goiás,Abril,55
1981,2006,Goiás,Abril,22
1982,2007,Goiás,Abril,17
1983,2008,Goiás,Abril,36
1984,2009,Goiás,Abril,11
1985,2010,Goiás,Abril,105
1986,2011,Goiás,Abril,71
1987,2012,Goiás,Abril,89
1988,2013,Goiás,Abril,42
1989,2014,Goiás,Abril,138
1990,2015,Goiás,Abril,89
1991,2016,Goiás,Abril,167
1992,2017,Goiás,Abril,60
1993,1998,Goiás,Maio,0
1994,1999,Goiás,Maio,99
1995,2000,Goiás,Maio,58
1996,2001,Goiás,Maio,85
1997,2002,Goiás,Maio,171
1998,2003,Goiás,Maio,57
1999,2004,Goiás,Maio,157
2000,2005,Goiás,Maio,164
2001,2006,Goiás,Maio,33
2002,2007,Goiás,Maio,94
2003,2008,Goiás,Maio,41
2004,2009,Goiás,Maio,104
2005,2010,Goiás,Maio,239
2006,2011,Goiás,Maio,136
2007,2012,Goiás,Maio,103
2008,2013,Goiás,Maio,150
2009,2014,Goiás,Maio,210
2010,2015,Goiás,Maio,129
2011,2016,Goiás,Maio,233
2012,2017,Goiás,Maio,135
2013,1998,Goiás,Junho,172
2014,1999,Goiás,Junho,250
2015,2000,Goiás,Junho,222
2016,2001,Goiás,Junho,212
2017,2002,Goiás,Junho,302
2018,2003,Goiás,Junho,321
2019,2004,Goiás,Junho,422
2020,2005,Goiás,Junho,189
2021,2006,Goiás,Junho,70
2022,2007,Goiás,Junho,186
2023,2008,Goiás,Junho,55
2024,2009,Goiás,Junho,179
2025,2010,Goiás,Junho,278
2026,2011,Goiás,Junho,314
2027,2012,Goiás,Junho,245
2028,2013,Goiás,Junho,192
2029,2014,Goiás,Junho,318
2030,2015,Goiás,Junho,277
2031,2016,Goiás,Junho,289
2032,2017,Goiás,Junho,442
2033,1998,Goiás,Julho,512
2034,1999,Goiás,Julho,311
2035,2000,Goiás,Julho,332
2036,2001,Goiás,Julho,371
2037,2002,Goiás,Julho,686
2038,2003,Goiás,Julho,322
2039,2004,Goiás,Julho,778
2040,2005,Goiás,Julho,363
2041,2006,Goiás,Julho,169
2042,2007,Goiás,Julho,399
2043,2008,Goiás,Julho,193
2044,2009,Goiás,Julho,470
2045,2010,Goiás,Julho,941
2046,2011,Goiás,Julho,607
2047,2012,Goiás,Julho,564
2048,2013,Goiás,Julho,350
2049,2014,Goiás,Julho,446
2050,2015,Goiás,Julho,347
2051,2016,Goiás,Julho,837
2052,2017,Goiás,Julho,577
2053,1998,Goiás,Agosto,2.218
2054,1999,Goiás,Agosto,1.198
2055,2000,Goiás,Agosto,925
2056,2001,Goiás,Agosto,787
2057,2002,Goiás,Agosto,1.428
2058,2003,Goiás,Agosto,902
2059,2004,Goiás,Agosto,1.498
2060,2005,Goiás,Agosto,639
2061,2006,Goiás,Agosto,588
2062,2007,Goiás,Agosto,2.382
2063,2008,Goiás,Agosto,568
2064,2009,Goiás,Agosto,647
2065,2010,Goiás,Agosto,2.914
2066,2011,Goiás,Agosto,1.613
2067,2012,Goiás,Agosto,912
2068,2013,Goiás,Agosto,488
2069,2014,Goiás,Agosto,1.255
2070,2015,Goiás,Agosto,943
2071,2016,Goiás,Agosto,1.032
2072,2017,Goiás,Agosto,1.492
2073,1998,Goiás,Setembro,2.867
2074,1999,Goiás,Setembro,1.898
2075,2000,Goiás,Setembro,1.293
2076,2001,Goiás,Setembro,1.863
2077,2002,Goiás,Setembro,3.52
2078,2003,Goiás,Setembro,1.662
2079,2004,Goiás,Setembro,2.965
2080,2005,Goiás,Setembro,1.341
2081,2006,Goiás,Setembro,1.463
2082,2007,Goiás,Setembro,3.745
2083,2008,Goiás,Setembro,1.255
2084,2009,Goiás,Setembro,685
2085,2010,Goiás,Setembro,5.075
2086,2011,Goiás,Setembro,2.259
2087,2012,Goiás,Setembro,2.452
2088,2013,Goiás,Setembro,684
2089,2014,Goiás,Setembro,1.687
2090,2015,Goiás,Setembro,2.296
2091,2016,Goiás,Setembro,1.703
2092,2017,Goiás,Setembro,3.238
2093,1998,Goiás,Outubro,1.034
2094,1999,Goiás,Outubro,743
2095,2000,Goiás,Outubro,905
2096,2001,Goiás,Outubro,479
2097,2002,Goiás,Outubro,1.367
2098,2003,Goiás,Outubro,1.183
2099,2004,Goiás,Outubro,1.275
2100,2005,Goiás,Outubro,1.717
2101,2006,Goiás,Outubro,178
2102,2007,Goiás,Outubro,1.195
2103,2008,Goiás,Outubro,1.231
2104,2009,Goiás,Outubro,367
2105,2010,Goiás,Outubro,1.227
2106,2011,Goiás,Outubro,476
2107,2012,Goiás,Outubro,1.524
2108,2013,Goiás,Outubro,606
2109,2014,Goiás,Outubro,1.947
2110,2015,Goiás,Outubro,1.807
2111,2016,Goiás,Outubro,522
2112,2017,Goiás,Outubro,2.401
2113,1998,Goiás,Novembro,47
2114,1999,Goiás,Novembro,110
2115,2000,Goiás,Novembro,26
2116,2001,Goiás,Novembro,15
2117,2002,Goiás,Novembro,192
2118,2003,Goiás,Novembro,168
2119,2004,Goiás,Novembro,291
2120,2005,Goiás,Novembro,144
2121,2006,Goiás,Novembro,91
2122,2007,Goiás,Novembro,79
2123,2008,Goiás,Novembro,90
2124,2009,Goiás,Novembro,89
2125,2010,Goiás,Novembro,67
2126,2011,Goiás,Novembro,59
2127,2012,Goiás,Novembro,57
2128,2013,Goiás,Novembro,183
2129,2014,Goiás,Novembro,181
2130,2015,Goiás,Novembro,547
2131,2016,Goiás,Novembro,123
2132,2017,Goiás,Novembro,117
2133,1998,Goiás,Dezembro,13
2134,1999,Goiás,Dezembro,20
2135,2000,Goiás,Dezembro,6
2136,2001,Goiás,Dezembro,18
2137,2002,Goiás,Dezembro,115
2138,2003,Goiás,Dezembro,129
2139,2004,Goiás,Dezembro,56
2140,2005,Goiás,Dezembro,5
2141,2006,Goiás,Dezembro,7
2142,2007,Goiás,Dezembro,16
2143,2008,Goiás,Dezembro,6
2144,2009,Goiás,Dezembro,39
2145,2010,Goiás,Dezembro,48
2146,2011,Goiás,Dezembro,39
2147,2012,Goiás,Dezembro,93
2148,2013,Goiás,Dezembro,86
2149,2014,Goiás,Dezembro,68
2150,2015,Goiás,Dezembro,179
2151,2016,Goiás,Dezembro,64
2152,1998,Maranhão,Janeiro,0
2153,1999,Maranhão,Janeiro,54
2154,2000,Maranhão,Janeiro,19
2155,2001,Maranhão,Janeiro,29
2156,2002,Maranhão,Janeiro,48
2157,2003,Maranhão,Janeiro,436
2158,2004,Maranhão,Janeiro,241
2159,2005,Maranhão,Janeiro,450
2160,2006,Maranhão,Janeiro,221
2161,2007,Maranhão,Janeiro,428
2162,2008,Maranhão,Janeiro,121
2163,2009,Maranhão,Janeiro,240
2164,2010,Maranhão,Janeiro,319
2165,2011,Maranhão,Janeiro,124
2166,2012,Maranhão,Janeiro,326
2167,2013,Maranhão,Janeiro,209
2168,2014,Maranhão,Janeiro,195
2169,2015,Maranhão,Janeiro,494
2170,2016,Maranhão,Janeiro,412
2171,2017,Maranhão,Janeiro,187
2172,1998,Maranhão,Fevereiro,0
2173,1999,Maranhão,Fevereiro,6
2174,2000,Maranhão,Fevereiro,11
2175,2001,Maranhão,Fevereiro,1
2176,2002,Maranhão,Fevereiro,116
2177,2003,Maranhão,Fevereiro,11
2178,2004,Maranhão,Fevereiro,22
2179,2005,Maranhão,Fevereiro,56
2180,2006,Maranhão,Fevereiro,22
2181,2007,Maranhão,Fevereiro,13
2182,2008,Maranhão,Fevereiro,45
2183,2009,Maranhão,Fevereiro,20
2184,2010,Maranhão,Fevereiro,93
2185,2011,Maranhão,Fevereiro,9
2186,2012,Maranhão,Fevereiro,46
2187,2013,Maranhão,Fevereiro,62
2188,2014,Maranhão,Fevereiro,29
2189,2015,Maranhão,Fevereiro,95
2190,2016,Maranhão,Fevereiro,318
2191,2017,Maranhão,Fevereiro,47
2192,1998,Maranhão,Março,0
2193,1999,Maranhão,Março,17
2194,2000,Maranhão,Março,6
2195,2001,Maranhão,Março,0
2196,2002,Maranhão,Março,16
2197,2003,Maranhão,Março,16
2198,2004,Maranhão,Março,18
2199,2005,Maranhão,Março,9
2200,2006,Maranhão,Março,14
2201,2007,Maranhão,Março,52
2202,2008,Maranhão,Março,4
2203,2009,Maranhão,Março,33
2204,2010,Maranhão,Março,82
2205,2011,Maranhão,Março,22
2206,2012,Maranhão,Março,49
2207,2013,Maranhão,Março,30
2208,2014,Maranhão,Março,59
2209,2015,Maranhão,Março,53
2210,2016,Maranhão,Março,113
2211,2017,Maranhão,Março,32
2212,1998,Maranhão,Abril,0
2213,1999,Maranhão,Abril,4
2214,2000,Maranhão,Abril,6
2215,2001,Maranhão,Abril,2
2216,2002,Maranhão,Abril,28
2217,2003,Maranhão,Abril,79
2218,2004,Maranhão,Abril,44
2219,2005,Maranhão,Abril,43
2220,2006,Maranhão,Abril,9
2221,2007,Maranhão,Abril,5
2222,2008,Maranhão,Abril,26
2223,2009,Maranhão,Abril,14
2224,2010,Maranhão,Abril,128
2225,2011,Maranhão,Abril,37
2226,2012,Maranhão,Abril,97
2227,2013,Maranhão,Abril,62
2228,2014,Maranhão,Abril,78
2229,2015,Maranhão,Abril,119
2230,2016,Maranhão,Abril,113
2231,2017,Maranhão,Abril,91
2232,1998,Maranhão,Maio,0
2233,1999,Maranhão,Maio,3
2234,2000,Maranhão,Maio,28
2235,2001,Maranhão,Maio,21
2236,2002,Maranhão,Maio,71
2237,2003,Maranhão,Maio,60
2238,2004,Maranhão,Maio,145
2239,2005,Maranhão,Maio,74
2240,2006,Maranhão,Maio,5
2241,2007,Maranhão,Maio,73
2242,2008,Maranhão,Maio,26
2243,2009,Maranhão,Maio,19
2244,2010,Maranhão,Maio,273
2245,2011,Maranhão,Maio,73
2246,2012,Maranhão,Maio,286
2247,2013,Maranhão,Maio,100
2248,2014,Maranhão,Maio,148
2249,2015,Maranhão,Maio,194
2250,2016,Maranhão,Maio,206
2251,2017,Maranhão,Maio,142
2252,1998,Maranhão,Junho,78
2253,1999,Maranhão,Junho,32
2254,2000,Maranhão,Junho,94
2255,2001,Maranhão,Junho,100
2256,2002,Maranhão,Junho,230
2257,2003,Maranhão,Junho,338
2258,2004,Maranhão,Junho,706
2259,2005,Maranhão,Junho,529
2260,2006,Maranhão,Junho,131
2261,2007,Maranhão,Junho,515
2262,2008,Maranhão,Junho,235
2263,2009,Maranhão,Junho,279
2264,2010,Maranhão,Junho,494
2265,2011,Maranhão,Junho,602
2266,2012,Maranhão,Junho,915
2267,2013,Maranhão,Junho,498
2268,2014,Maranhão,Junho,812
2269,2015,Maranhão,Junho,887
2270,2016,Maranhão,Junho,709
2271,2017,Maranhão,Junho,885
2272,1998,Maranhão,Julho,274
2273,1999,Maranhão,Julho,258
2274,2000,Maranhão,Julho,233
2275,2001,Maranhão,Julho,549
2276,2002,Maranhão,Julho,1.271
2277,2003,Maranhão,Julho,1.103
2278,2004,Maranhão,Julho,1.366
2279,2005,Maranhão,Julho,1.152
2280,2006,Maranhão,Julho,512
2281,2007,Maranhão,Julho,1.205
2282,2008,Maranhão,Julho,502
2283,2009,Maranhão,Julho,972
2284,2010,Maranhão,Julho,2.323
2285,2011,Maranhão,Julho,1.024
2286,2012,Maranhão,Julho,3.548
2287,2013,Maranhão,Julho,1.111
2288,2014,Maranhão,Julho,2.068
2289,2015,Maranhão,Julho,1.642
2290,2016,Maranhão,Julho,2.096
2291,2017,Maranhão,Julho,2.521
2292,1998,Maranhão,Agosto,1.176
2293,1999,Maranhão,Agosto,895
2294,2000,Maranhão,Agosto,839
2295,2001,Maranhão,Agosto,2.037
2296,2002,Maranhão,Agosto,3.481
2297,2003,Maranhão,Agosto,2.023
2298,2004,Maranhão,Agosto,1.889
2299,2005,Maranhão,Agosto,2.239
2300,2006,Maranhão,Agosto,1.382
2301,2007,Maranhão,Agosto,8.409
2302,2008,Maranhão,Agosto,713
2303,2009,Maranhão,Agosto,1.766
2304,2010,Maranhão,Agosto,6.353
2305,2011,Maranhão,Agosto,2.138
2306,2012,Maranhão,Agosto,10.395
2307,2013,Maranhão,Agosto,2.098
2308,2014,Maranhão,Agosto,5.592
2309,2015,Maranhão,Agosto,5.428
2310,2016,Maranhão,Agosto,3.723
